CHAMBER_OF_COMMERCE_NO,DEFAULT_SORT,DEVELOPER_AR,DEVELOPER_EN,DEVELOPER_ID,DEVELOPER_NUMBER,FAX,LEGAL_STATUS,LEGAL_STATUS_AR,LEGAL_STATUS_EN,LICENSE_EXPIRY_DATE,LICENSE_ISSUE_DATE,LICENSE_NUMBER,LICENSE_SOURCE_AR,LICENSE_SOURCE_EN,LICENSE_SOURCE_ID,LICENSE_TYPE_AR,LICENSE_TYPE_EN,LICENSE_TYPE_ID,PARTICIPANT_ID,PHONE,REGISTRATION_DATE,RN,TOTAL,WEBPAGE
,DEFAULT,رقان للتطوير العقاري ذ.م.م,RUQAN REAL ESTATE DEVELOPMENT L.L.C,0,2677,,,,,2027-02-26T00:00:00,2026-02-27T00:00:00,1607826,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,,,0,0,,2026-03-02T22:38:10,1,26,
,DEFAULT,ليريانا للتطوير العقاري ش.ذ.م.م,LYRIANA REAL ESTATE DEVELOPMENT L.L.C,0,2678,,,,,2027-02-26T00:00:00,2026-02-27T00:00:00,1607830,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,,,0,0,,2026-03-02T22:39:57,2,26,
,DEFAULT,أكسيس للتطوير العقاري ش.ذ.م.م,AXIS REAL ESTATE DEVELOPMENT L.L.C,0,2679,,,,,2027-02-26T00:00:00,2026-02-27T00:00:00,1608445,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,,,0,0,,2026-03-02T22:41:14,3,26,
,DEFAULT,مود للتطوير العقاري ذ.م.م,MOOD REAL ESTATE DEVELOPMENT L.L.C,0,2680,,,,,2027-02-26T00:00:00,2026-02-27T00:00:00,1607453,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,,,0,0,,2026-03-02T22:42:13,4,26,
,DEFAULT,انورا للتطوير العقاري ش.ذ.م.م,ANOORA REAL ESTATE DEVELOPMENT L.L.C,0,2681,,,,,2027-02-26T00:00:00,2026-02-27T00:00:00,1607426,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,,,0,0,,2026-03-02T22:43:10,5,26,
,DEFAULT,سوهور للتطوير العقاري ش.ذ.م.م,SUHOR REAL ESTATE DEVELOPMENT L.L.C,0,2682,,,,,2027-02-26T00:00:00,2026-02-27T00:00:00,1607484,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,,,0,0,,2026-03-02T22:44:26,6,26,
,DEFAULT,نيركون للتطوير العقاري ش.ذ.م.م,NERQON REAL ESTATE DEVELOPMENT L.L.C,0,2683,,,,,2027-02-26T00:00:00,2026-02-27T00:00:00,1607408,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,,,0,0,,2026-03-02T22:45:23,7,26,
,DEFAULT,كادوري للتطوير العقاري ش.ذ.م.م,QADORY REAL ESTATE DEVELOPMENT L.L.C,0,2684,,,,,2027-02-26T00:00:00,2026-02-27T00:00:00,1607070,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,,,0,0,,2026-03-02T22:46:26,8,26,
,DEFAULT,أورميا للتطوير العقاري ش.ذ.م.م,ORMEA REAL ESTATE DEVELOPMENT L.L.C,0,2685,,,,,2027-02-26T00:00:00,2026-02-27T00:00:00,1608517,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,,,0,0,,2026-03-02T22:47:46,9,26,
,DEFAULT,فولتكس للتطوير العقاري ش.ذ.م.م,VULTEX REAL ESTATE DEVELOPMENT L.L.C,0,2686,,,,,2027-02-26T00:00:00,2026-02-27T00:00:00,1606111,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,,,0,0,,2026-03-02T22:48:56,10,26,
,DEFAULT,سكايلار للتطوير العقاري ش.ذ.م.م,SKYLAR REAL ESTATE DEVELOPMENT L.L.C,0,2687,,,,,2027-02-26T00:00:00,2026-02-27T00:00:00,1607073,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,مهنية,PROFESSIONAL,0,0,,2026-03-02T22:50:09,11,26,
,DEFAULT,كوست لاين فيوز للتطوير العقاري ذ.م.م,COASTLINE VIEWS REAL ESTATE DEVELOPMENT L.L.C,0,2688,,,,,2027-02-26T00:00:00,2026-02-27T00:00:00,1607828,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,,,0,0,,2026-03-02T22:51:17,12,26,
,DEFAULT,جولدفير للتطوير ش.ذ.م.م,GOLDFAIR DEVELOPERS L.L.C,0,2689,0,,,,2027-02-12T00:00:00,2026-02-13T00:00:00,1594374,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,,,0,0,553200802,2026-03-04T11:08:04,13,26,
,DEFAULT,كاسا دي اورو للعقارات ش.ذ.م.م,CASA D ORO PROPERTIES L.L.C,0,2690,,,,,2027-02-25T00:00:00,2026-02-26T00:00:00,1598002,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,,,0,0,,2026-03-04T13:40:39,14,26,
,DEFAULT,أدلاك تيرا للتطوير العقاري ذ.م.م,ADLAC TERRA REAL ESTATE DEVELOPMENT L.L.C,0,2691,,,,,2027-03-08T00:00:00,2026-03-09T00:00:00,1611147,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,,,0,0,,2026-03-09T19:50:50,15,26,
,DEFAULT,ريبورتاج كابيتال للتطوير العقاري ش.ذ.م.م,REPORTAGE CAPITAL REAL ESTATE DEVELOPMENT L.L.C,0,2692,4000000,,,,2027-01-26T00:00:00,2026-01-27T00:00:00,1589439,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,,,0,0,971|585088202,2026-03-10T10:09:10,16,26,
,DEFAULT,برايمستون لشراء وبيع العقارات ذ.م.م,PRIMESTONE FOR BUYING AND SELLING OF REAL ESTATE CO. L.L.C,0,2693,,,,,2027-02-08T00:00:00,2024-02-09T00:00:00,1309017,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,مهنية,PROFESSIONAL,0,0,9.72E+11,2026-03-11T09:38:56,17,26,
,DEFAULT,دبليو جيه دي للعقارات ش.ذ.م.م,W J D REAL ESTATE L.L.C,0,2694,,,,,2027-02-10T00:00:00,2026-02-11T00:00:00,1547015,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,,,0,0,,2026-03-11T11:10:35,18,26,
,DEFAULT,أرورا اس بي في 4 ش.ذ.م.م,AURORA SPV 4 L.L.C,0,2695,971-04-3622091,,,,2027-01-08T00:00:00,2026-01-09T00:00:00,1587779,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,,,0,0,971-04-3622000,2026-03-12T20:40:20,19,26,
,DEFAULT,أورفيون للتطوير العقاري ذ.م.م,ORVION REAL ESTATE DEVELOPMENT L.L.C,0,2696,,,,,2027-03-10T00:00:00,2026-03-11T00:00:00,1611647,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,,,0,0,,2026-03-12T23:31:14,20,26,
,DEFAULT,ريفا للتطوير العقاري ذ.م.م ش.ش.و,RIVA REAL ESTATE DEVELOPMENT L.L.C S.O.C,0,2697,,,,,2027-03-15T00:00:00,2026-03-16T00:00:00,1612964,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,,,0,0,,2026-03-16T19:32:26,21,26,
,DEFAULT,أكيوب زيتا لتطوير العقارات ش.ذ.م.م,ACUBE ZETA REAL ESTATE DEVELOPMENT L.L.C,0,2698,,,,,2027-03-16T00:00:00,2026-03-17T00:00:00,1612789,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,,,0,0,,2026-03-17T19:37:10,22,26,
,DEFAULT,برستيج افينيو للتطوير العقاري ش.ذ.م.م,PRESTIGE AVENUE REAL ESTATE DEVELOPMENT L.L.C,0,2699,,,,,2027-03-13T00:00:00,2026-03-14T00:00:00,1611015,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,,,0,0,,2026-03-23T11:23:00,23,26,
,DEFAULT,ماي فيلاز للتطوير ش ذ م م,MY VILLAS DEVELOPMENT LLC,0,2700,42599933,,,,2027-03-22T00:00:00,2026-03-23T00:00:00,1612909,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,,,0,0,42599933,2026-03-25T12:31:15,24,26,
,DEFAULT,أستراليز ليفينج للتطوير العقاري ش.ذ.م.م,ASTRALIS LIVING REAL ESTATE DEVELOPMENT L.L.C,0,2701,,,,,2027-03-24T00:00:00,2026-03-25T00:00:00,1610925,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,,,0,0,,2026-03-26T22:28:30,25,26,
,DEFAULT,برايم ريزيدنشال للتطوير ش.ذ.م.م,PRIME RESIDENTIAL DEVELOPMENT L.L.C,0,2702,,,,,2027-03-24T00:00:00,2026-03-25T00:00:00,1609083,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,,,0,0,,2026-03-30T11:34:32,26,26,
